"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-04-24",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-04-25",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-04-26",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-04-27",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-04-28",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-04-29",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-04-30",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-05-01",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-05-02",,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-05-03",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-05-04",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-05-05",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-05-06",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-05-07",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-05-09","    2",",,N","0.00",",,N",,,,,,,,,,,,,,,,,,,,
"US1TXTV0112","AUSTIN 5.7 SSE, TX US","30.19591","-97.695825","162.5","2010-05-10",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,
